"","mpg","cylinder","displacement","horsepower","weight","acceleration","modelYear","origin","carName","NA","NA","NA","NA","NA","NA"
"257",261,20.8,6,200,85,3070,16.7,78,1,"mercury-zephyr","Lo","Lo","c6","c6","Hi"
"258",262,18.6,6,225,110,3620,18.7,78,1,"dodge-aspen","Hi","Lo","c6","c6","Hi"
"259",263,18.1,6,258,120,3410,15.1,78,1,"amc-concord-d/l","Hi","Hi","c6","c6","Lo"
"260",264,19.2,8,305,145,3425,13.2,78,1,"chevrolet-monte-carlo-landau","Hi","Hi","c8","cn6","Lo"
"261",265,17.7,6,231,165,3445,13.4,78,1,"buick-regal-sport-coupe (turbo)","Hi","Lo","c6","c6","Lo"
"262",266,18.1,8,302,139,3205,11.2,78,1,"ford-futura","Hi","Hi","c8","cn6","Lo"
"263",267,17.5,8,318,140,4080,13.7,78,1,"dodge-magnum-xe","Hi","Hi","c8","cn6","Lo"
"264",268,30,4,98,68,2155,16.5,78,1,"chevrolet-chevette","Lo","Lo","c345","cn6","Hi"
"265",269,27.5,4,134,95,2560,14.2,78,3,"toyota-corona","Lo","Lo","c345","cn6","Lo"
"266",270,27.2,4,119,97,2300,14.7,78,3,"datsun-510","Lo","Lo","c345","cn6","Lo"
"267",271,30.9,4,105,75,2230,14.5,78,1,"dodge-omni","Lo","Lo","c345","cn6","Lo"
"268",272,21.1,4,134,95,2515,14.8,78,3,"toyota-celica-gt-liftback","Lo","Lo","c345","cn6","Lo"
"269",273,23.2,4,156,105,2745,16.7,78,1,"plymouth-sapporo","Hi","Lo","c345","cn6","Hi"
"270",274,23.8,4,151,85,2855,17.6,78,1,"oldsmobile-starfire-sx","Lo","Lo","c345","cn6","Hi"
"271",275,23.9,4,119,97,2405,14.9,78,3,"datsun-200-sx","Lo","Lo","c345","cn6","Lo"
"272",276,20.3,5,131,103,2830,15.9,78,2,"audi-5000","Hi","Lo","c345","cn6","Lo"
"273",277,17,6,163,125,3140,13.6,78,2,"volvo-264gl","Hi","Lo","c6","c6","Lo"
"274",278,21.6,4,121,115,2795,15.7,78,2,"saab-99gle","Hi","Lo","c345","cn6","Lo"
"275",279,16.2,6,163,133,3410,15.8,78,2,"peugeot-604sl","Hi","Lo","c6","c6","Lo"
"276",280,31.5,4,89,71,1990,14.9,78,2,"volkswagen-scirocco","Lo","Lo","c345","cn6","Lo"
"277",281,29.5,4,98,68,2135,16.6,78,3,"honda-accord-lx","Lo","Lo","c345","cn6","Hi"
"278",282,21.5,6,231,115,3245,15.4,79,1,"pontiac-lemans-v6","Hi","Lo","c6","c6","Lo"
"279",283,19.8,6,200,85,2990,18.2,79,1,"mercury-zephyr-6","Lo","Lo","c6","c6","Hi"
"280",284,22.3,4,140,88,2890,17.3,79,1,"ford-fairmont-4","Lo","Lo","c345","cn6","Hi"
"281",285,20.2,6,232,90,3265,18.2,79,1,"amc-concord-dl-6","Lo","Lo","c6","c6","Hi"
"282",286,20.6,6,225,110,3360,16.6,79,1,"dodge-aspen-6","Hi","Lo","c6","c6","Hi"
"283",287,17,8,305,130,3840,15.4,79,1,"chevrolet-caprice-classic","Hi","Hi","c8","cn6","Lo"
"284",288,17.6,8,302,129,3725,13.4,79,1,"ford-ltd-landau","Hi","Hi","c8","cn6","Lo"
"285",289,16.5,8,351,138,3955,13.2,79,1,"mercury-grand-marquis","Hi","Hi","c8","cn6","Lo"
"286",290,18.2,8,318,135,3830,15.2,79,1,"dodge-st. regis","Hi","Hi","c8","cn6","Lo"
"287",291,16.9,8,350,155,4360,14.9,79,1,"buick-estate-wagon (sw)","Hi","Hi","c8","cn6","Lo"
"288",292,15.5,8,351,142,4054,14.3,79,1,"ford-country-squire (sw)","Hi","Hi","c8","cn6","Lo"
"289",293,19.2,8,267,125,3605,15,79,1,"chevrolet-malibu-classic (sw)","Hi","Hi","c8","cn6","Lo"
"290",294,18.5,8,360,150,3940,13,79,1,"chrysler-lebaron-town @ country (sw)","Hi","Hi","c8","cn6","Lo"
"291",295,31.9,4,89,71,1925,14,79,2,"vw-rabbit-custom","Lo","Lo","c345","cn6","Lo"
"292",296,34.1,4,86,65,1975,15.2,79,3,"maxda-glc-deluxe","Lo","Lo","c345","cn6","Lo"
"293",297,35.7,4,98,80,1915,14.4,79,1,"dodge-colt-hatchback-custom","Lo","Lo","c345","cn6","Lo"
"294",298,27.4,4,121,80,2670,15,79,1,"amc-spirit-dl","Lo","Lo","c345","cn6","Lo"
"295",299,25.4,5,183,77,3530,20.1,79,2,"mercedes-benz-300d","Lo","Lo","c345","cn6","Hi"
"296",300,23,8,350,125,3900,17.4,79,1,"cadillac-eldorado","Hi","Hi","c8","cn6","Hi"
"297",301,27.2,4,141,71,3190,24.8,79,2,"peugeot-504","Lo","Lo","c345","cn6","Hi"
"298",302,23.9,8,260,90,3420,22.2,79,1,"oldsmobile-cutlass-salon-brougham","Lo","Hi","c8","cn6","Hi"
"299",303,34.2,4,105,70,2200,13.2,79,1,"plymouth-horizon","Lo","Lo","c345","cn6","Lo"
"300",304,34.5,4,105,70,2150,14.9,79,1,"plymouth-horizon-tc3","Lo","Lo","c345","cn6","Lo"
"301",305,31.8,4,85,65,2020,19.2,79,3,"datsun-210","Lo","Lo","c345","cn6","Hi"
"302",306,37.3,4,91,69,2130,14.7,79,2,"fiat-strada-custom","Lo","Lo","c345","cn6","Lo"
"303",307,28.4,4,151,90,2670,16,79,1,"buick-skylark-limited","Lo","Lo","c345","cn6","Hi"
"304",308,28.8,6,173,115,2595,11.3,79,1,"chevrolet-citation","Hi","Lo","c6","c6","Lo"
"305",309,26.8,6,173,115,2700,12.9,79,1,"oldsmobile-omega-brougham","Hi","Lo","c6","c6","Lo"
"306",310,33.5,4,151,90,2556,13.2,79,1,"pontiac-phoenix","Lo","Lo","c345","cn6","Lo"
"307",311,41.5,4,98,76,2144,14.7,80,2,"vw-rabbit","Lo","Lo","c345","cn6","Lo"
"308",312,38.1,4,89,60,1968,18.8,80,3,"toyota-corolla-tercel","Lo","Lo","c345","cn6","Hi"
"309",313,32.1,4,98,70,2120,15.5,80,1,"chevrolet-chevette","Lo","Lo","c345","cn6","Lo"
"310",314,37.2,4,86,65,2019,16.4,80,3,"datsun-310","Lo","Lo","c345","cn6","Hi"
"311",315,28,4,151,90,2678,16.5,80,1,"chevrolet-citation","Lo","Lo","c345","cn6","Hi"
"312",316,26.4,4,140,88,2870,18.1,80,1,"ford-fairmont","Lo","Lo","c345","cn6","Hi"
"313",317,24.3,4,151,90,3003,20.1,80,1,"amc-concord","Lo","Lo","c345","cn6","Hi"
"314",318,19.1,6,225,90,3381,18.7,80,1,"dodge-aspen","Lo","Lo","c6","c6","Hi"
"315",319,34.3,4,97,78,2188,15.8,80,2,"audi-4000","Lo","Lo","c345","cn6","Lo"
"316",320,29.8,4,134,90,2711,15.5,80,3,"toyota-corona-liftback","Lo","Lo","c345","cn6","Lo"
"317",321,31.3,4,120,75,2542,17.5,80,3,"mazda-626","Lo","Lo","c345","cn6","Hi"
"318",322,37,4,119,92,2434,15,80,3,"datsun-510 hatchback","Lo","Lo","c345","cn6","Lo"
"319",323,32.2,4,108,75,2265,15.2,80,3,"toyota-corolla","Lo","Lo","c345","cn6","Lo"
"320",324,46.6,4,86,65,2110,17.9,80,3,"mazda-glc","Lo","Lo","c345","cn6","Hi"
"321",325,27.9,4,156,105,2800,14.4,80,1,"dodge-colt","Hi","Lo","c345","cn6","Lo"
"322",326,40.8,4,85,65,2110,19.2,80,3,"datsun-210","Lo","Lo","c345","cn6","Hi"
"323",327,44.3,4,90,48,2085,21.7,80,2,"vw-rabbit-c (diesel)","Lo","Lo","c345","cn6","Hi"
"324",328,43.4,4,90,48,2335,23.7,80,2,"vw-dasher (diesel)","Lo","Lo","c345","cn6","Hi"
"325",329,36.4,5,121,67,2950,19.9,80,2,"audi-5000s (diesel)","Lo","Lo","c345","cn6","Hi"
"326",330,30,4,146,67,3250,21.8,80,2,"mercedes-benz-240d","Lo","Lo","c345","cn6","Hi"
"327",331,44.6,4,91,67,1850,13.8,80,3,"honda-civic-1500 gl","Lo","Lo","c345","cn6","Lo"
"328",332,33.8,4,97,67,2145,18,80,3,"subaru-dl","Lo","Lo","c345","cn6","Hi"
"329",333,29.8,4,89,62,1845,15.3,80,2,"vokswagen-rabbit","Lo","Lo","c345","cn6","Lo"
"330",334,32.7,6,168,132,2910,11.4,80,3,"datsun-280-zx","Hi","Lo","c6","c6","Lo"
"331",335,23.7,3,70,100,2420,12.5,80,3,"mazda-rx-7 gs","Hi","Lo","c345","cn6","Lo"
"332",336,35,4,122,88,2500,15.1,80,2,"triumph-tr7 coupe","Lo","Lo","c345","cn6","Lo"
"333",337,32.4,4,107,72,2290,17,80,3,"honda-accord","Lo","Lo","c345","cn6","Hi"
"334",338,27.2,4,135,84,2490,15.7,81,1,"plymouth-reliant","Lo","Lo","c345","cn6","Lo"
"335",339,26.6,4,151,84,2635,16.4,81,1,"buick-skylark","Lo","Lo","c345","cn6","Hi"
"336",340,25.8,4,156,92,2620,14.4,81,1,"dodge-aries-wagon (sw)","Lo","Lo","c345","cn6","Lo"
"337",341,23.5,6,173,110,2725,12.6,81,1,"chevrolet-citation","Hi","Lo","c6","c6","Lo"
"338",342,30,4,135,84,2385,12.9,81,1,"plymouth-reliant","Lo","Lo","c345","cn6","Lo"
"339",343,39.1,4,79,58,1755,16.9,81,3,"toyota-starlet","Lo","Lo","c345","cn6","Hi"
"340",344,39,4,86,64,1875,16.4,81,1,"plymouth-champ","Lo","Lo","c345","cn6","Hi"
"341",345,35.1,4,81,60,1760,16.1,81,3,"honda-civic-1300","Lo","Lo","c345","cn6","Hi"
"342",346,32.3,4,97,67,2065,17.8,81,3,"subaru","Lo","Lo","c345","cn6","Hi"
"343",347,37,4,85,65,1975,19.4,81,3,"datsun-210 mpg","Lo","Lo","c345","cn6","Hi"
"344",348,37.7,4,89,62,2050,17.3,81,3,"toyota-tercel","Lo","Lo","c345","cn6","Hi"
"345",349,34.1,4,91,68,1985,16,81,3,"mazda-glc-4","Lo","Lo","c345","cn6","Hi"
"346",350,34.7,4,105,63,2215,14.9,81,1,"plymouth-horizon-4","Lo","Lo","c345","cn6","Lo"
"347",351,34.4,4,98,65,2045,16.2,81,1,"ford-escort-4w","Lo","Lo","c345","cn6","Hi"
"348",352,29.9,4,98,65,2380,20.7,81,1,"ford-escort-2h","Lo","Lo","c345","cn6","Hi"
"349",353,33,4,105,74,2190,14.2,81,2,"volkswagen-jetta","Lo","Lo","c345","cn6","Lo"
"350",354,33.7,4,107,75,2210,14.4,81,3,"honda-prelude","Lo","Lo","c345","cn6","Lo"
"351",355,32.4,4,108,75,2350,16.8,81,3,"toyota-corolla","Lo","Lo","c345","cn6","Hi"
"352",356,32.9,4,119,100,2615,14.8,81,3,"datsun-200sx","Hi","Lo","c345","cn6","Lo"
"353",357,31.6,4,120,74,2635,18.3,81,3,"mazda-626","Lo","Lo","c345","cn6","Hi"
"354",358,28.1,4,141,80,3230,20.4,81,2,"peugeot-505s-turbo-diesel","Lo","Lo","c345","cn6","Hi"
"355",359,30.7,6,145,76,3160,19.6,81,2,"volvo-diesel","Lo","Lo","c6","c6","Hi"
"356",360,25.4,6,168,116,2900,12.6,81,3,"toyota-cressida","Hi","Lo","c6","c6","Lo"
"357",361,24.2,6,146,120,2930,13.8,81,3,"datsun-810 maxima","Hi","Lo","c6","c6","Lo"
"358",362,22.4,6,231,110,3415,15.8,81,1,"buick-century","Hi","Lo","c6","c6","Lo"
"359",363,26.6,8,350,105,3725,19,81,1,"oldsmobile-cutlass-ls","Hi","Hi","c8","cn6","Hi"
"360",364,20.2,6,200,88,3060,17.1,81,1,"ford-granada-gl","Lo","Lo","c6","c6","Hi"
"361",365,17.6,6,225,85,3465,16.6,81,1,"chrysler-lebaron-salon","Lo","Lo","c6","c6","Hi"
"362",366,28,4,112,88,2605,19.6,82,1,"chevrolet-cavalier","Lo","Lo","c345","cn6","Hi"
"363",367,27,4,112,88,2640,18.6,82,1,"chevrolet-cavalier-wagon","Lo","Lo","c345","cn6","Hi"
"364",368,34,4,112,88,2395,18,82,1,"chevrolet-cavalier-2-door","Lo","Lo","c345","cn6","Hi"
"365",369,31,4,112,85,2575,16.2,82,1,"pontiac-j2000 se-hatchback","Lo","Lo","c345","cn6","Hi"
"366",370,29,4,135,84,2525,16,82,1,"dodge-aries-se","Lo","Lo","c345","cn6","Hi"
"367",371,27,4,151,90,2735,18,82,1,"pontiac-phoenix","Lo","Lo","c345","cn6","Hi"
"368",372,24,4,140,92,2865,16.4,82,1,"ford-fairmont-futura","Lo","Lo","c345","cn6","Hi"
"369",373,36,4,105,74,1980,15.3,82,2,"volkswagen-rabbit-l","Lo","Lo","c345","cn6","Lo"
"370",374,37,4,91,68,2025,18.2,82,3,"mazda-glc-custom-l","Lo","Lo","c345","cn6","Hi"
"371",375,31,4,91,68,1970,17.6,82,3,"mazda-glc-custom","Lo","Lo","c345","cn6","Hi"
"372",376,38,4,105,63,2125,14.7,82,1,"plymouth-horizon-miser","Lo","Lo","c345","cn6","Lo"
"373",377,36,4,98,70,2125,17.3,82,1,"mercury-lynx-l","Lo","Lo","c345","cn6","Hi"
"374",378,36,4,120,88,2160,14.5,82,3,"nissan-stanza-xe","Lo","Lo","c345","cn6","Lo"
"375",379,36,4,107,75,2205,14.5,82,3,"honda-accord","Lo","Lo","c345","cn6","Lo"
"376",380,34,4,108,70,2245,16.9,82,3,"toyota-corolla","Lo","Lo","c345","cn6","Hi"
"377",381,38,4,91,67,1965,15,82,3,"honda-civic","Lo","Lo","c345","cn6","Lo"
"378",382,32,4,91,67,1965,15.7,82,3,"honda-civic (auto)","Lo","Lo","c345","cn6","Lo"
"379",383,38,4,91,67,1995,16.2,82,3,"datsun-310 gx","Lo","Lo","c345","cn6","Hi"
"380",384,25,6,181,110,2945,16.4,82,1,"buick-century-limited","Hi","Lo","c6","c6","Hi"
"381",385,38,6,262,85,3015,17,82,1,"oldsmobile-cutlass-ciera (diesel)","Lo","Hi","c6","c6","Hi"
"382",386,26,4,156,92,2585,14.5,82,1,"chrysler-lebaron-medallion","Lo","Lo","c345","cn6","Lo"
"383",387,22,6,232,112,2835,14.7,82,1,"ford-granada-l","Hi","Lo","c6","c6","Lo"
"384",388,32,4,144,96,2665,13.9,82,3,"toyota-celica-gt","Lo","Lo","c345","cn6","Lo"
"385",389,36,4,135,84,2370,13,82,1,"dodge-charger-2.2","Lo","Lo","c345","cn6","Lo"
"386",390,27,4,151,90,2950,17.3,82,1,"chevrolet-camaro","Lo","Lo","c345","cn6","Hi"
"387",391,27,4,140,86,2790,15.6,82,1,"ford-mustang-gl","Lo","Lo","c345","cn6","Lo"
"388",392,44,4,97,52,2130,24.6,82,2,"vw-pickup","Lo","Lo","c345","cn6","Hi"
"389",393,32,4,135,84,2295,11.6,82,1,"dodge-rampage","Lo","Lo","c345","cn6","Lo"
"390",394,28,4,120,79,2625,18.6,82,1,"ford-ranger","Lo","Lo","c345","cn6","Hi"
"391",395,31,4,119,82,2720,19.4,82,1,"chevy-s-10","Lo","Lo","c345","cn6","Hi"
